File,Precision,Recall,F1 Score,Translation Length,Reference Length
157_Der_Sperling_und_seine_vier_Ki_en(1).txt,[0.9086023569107056],[0.8990429639816284],[0.9037973880767822],1152,929
2_Katze_und_Maus_in_Gesellschaft_en(1).txt,[0.8276317119598389],[0.8262804746627808],[0.8269555568695068],929,517
55_Rumpelstilzchen_en(1).txt,[0.9264218807220459],[0.9183035492897034],[0.9223448634147644],1068,1084
105_Märchen_von_der_Unke_en.txt,[0.9232680201530457],[0.9235994815826416],[0.9234336614608765],700,518
42_Der_Herr_Gevatter_en(1).txt,[0.7457190752029419],[0.8014792203903198],[0.7725943922996521],1484,626
86_Der_Fuchs_und_die_G_nse_en.txt,[0.9498463273048401],[0.9389514327049255],[0.9443674683570862],206,229
"23_Von_dem_M_uschen,_V_gelchen_un_en(1).txt",[0.9256510138511658],[0.9234506487846375],[0.9245495200157166],627,629
76_Die_Nelke_en.txt,[0.9255722165107727],[0.9272889494895935],[0.926429808139801],1720,1800
94_Die_kluge_Bauerntochter_en.txt,[0.927544891834259],[0.918615996837616],[0.9230588674545288],1295,1425
80_Von_dem_Tode_des_H_hnchens_en(1).txt,[0.9230985045433044],[0.917894721031189],[0.9204893112182617],627,668
26_Rothk_ppchen_en(1).txt,[0.8878976106643677],[0.8943646550178528],[0.8911193609237671],1259,1383
118_Die_drei_Feldscherer_en(1).txt,[0.9332247376441956],[0.9292010068893433],[0.9312084913253784],989,1087
138_Knoist_un_sine_dre_S_hne_en(1).txt,[0.9065635800361633],[0.901496410369873],[0.9040229320526123],155,152
120_Die_drei_Handwerksburschen_en.txt,[0.7434614300727844],[0.7999314069747925],[0.770663321018219],3728,1165
146_Die_R_be_en(1).txt,[0.9060744047164917],[0.892549991607666],[0.8992613554000854],1091,1155
41_Herr_Korbes_en(1).txt,[0.9223445653915405],[0.9216634035110474],[0.9220038652420044],377,391
135_Die_wei_e_und_die_schwarze_Bra_en(1).txt,[0.9267758727073669],[0.923676073551178],[0.9252234101295471],1426,1545
53_Sneewittchen_en(1).txt,[0.9242069721221924],[0.9239736795425415],[0.9240903258323669],2068,3102
31_Das_M_dchen_ohne_H_nde_en(1).txt,[0.9290066361427307],[0.9224461317062378],[0.9257147312164307],2157,2332
79_Die_Wassernixe_en(1).txt,[0.9295786023139954],[0.9263427257537842],[0.9279578328132629],297,301
159_Das_Dietmarsische_L_genm_rchen_en.txt,[0.9503358006477356],[0.9392038583755493],[0.9447370171546936],193,209
141_Das_L_mmchen_und_Fischchen_en(1).txt,[0.9137132167816162],[0.9111241102218628],[0.9124168157577515],583,640
126_Ferenand_getrü_und_Ferenand_un_en.txt,[0.9021766185760498],[0.9005823731422424],[0.901378870010376],2030,1991
38_Die_Hochzeit_der_Frau_F_chsin_en.txt,[0.9245127439498901],[0.9186676740646362],[0.921580970287323],740,787
49_Die_sechs_Schw_ne_en(1).txt,[0.9483320116996765],[0.9483016133308411],[0.948316752910614],1837,1987
154_Der_gestohlene_Heller_en(1).txt,[0.9432060122489929],[0.9355602860450745],[0.9393675923347473],327,350
123_Die_Alte_im_Wald_en(1).txt,[0.9289738535881042],[0.9263433814048767],[0.9276567697525024],894,916
50_Dornr_schen_en(1).txt,[0.9151899814605713],[0.9137782454490662],[0.9144835472106934],1146,1318
25_Die_sieben_Raben_en(1).txt,[0.9208372235298157],[0.9205474853515625],[0.9206923246383667],897,944
"36_Tischchen_deck_dich,_Goldesel,_en(1).txt",[0.9401103258132935],[0.9340538382530212],[0.9370723366737366],3366,3815
96_De_drei_V_gelkens_en(1).txt,[0.8841306567192078],[0.884548544883728],[0.8843396306037903],1552,1440
65_Allerleirauh_en(1).txt,[0.9394209980964661],[0.9352103471755981],[0.9373109340667725],1931,2176
92_Der_König_vom_goldenen_Berg_en.txt,[0.8947606682777405],[0.8792045712471008],[0.8869143724441528],1997,2429
45_Daumerlings_Wanderschaft_en(1).txt,[0.90162193775177],[0.8984238505363464],[0.9000200629234314],1629,1614
85_Die_Goldkinder_en.txt,[0.9339314699172974],[0.9299715757369995],[0.9319473505020142],1835,1928
115_Die_klare_Sonne_bringts_an_den_en(1).txt,[0.9312484264373779],[0.9247541427612305],[0.9279899001121521],504,541
111_Der_gelernte_J_ger_en.txt,[0.9301722049713135],[0.9234659075737],[0.9268069267272949],2075,2349
20_Das_tapfere_Schneiderlein_en.txt,[0.823445200920105],[0.8226470351219177],[0.8230459690093994],2632,517
131_Die_sch_ne_Katrinelje_und_Pif__en(1).txt,[0.8139197826385498],[0.8437089920043945],[0.8285467028617859],1388,304
1_Der_Froschk_nig_oder_der_eiser_en(1).txt,[0.8143107295036316],[0.8183315992355347],[0.8163161873817444],1396,1663
139_Dat_M_ken_von_Brakel_en.txt,[0.8930703401565552],[0.892593502998352],[0.8928318619728088],152,133
87_Der_Arme_und_der_Reiche_en(1).txt,[0.9248888492584229],[0.9269771575927734],[0.9259318113327026],1527,1729
17_Die_wei_e_Schlange_en.txt,[0.8179508447647095],[0.8200953006744385],[0.8190216422080994],1528,377
22_Das_Räthsel_en.txt,[0.9482822418212891],[0.9480975866317749],[0.948189914226532],1057,1147
32_Der_gescheidte_Hans_en(1).txt,[0.9277234077453613],[0.9157723784446716],[0.9217091202735901],858,893
158_Das_M_rchen_vom_Schlauraffenla_en.txt,[0.9272431135177612],[0.9114729762077332],[0.9192904233932495],309,333
114_Vom_klugen_Schneiderlein_en.txt,[0.9190859794616699],[0.915850818157196],[0.9174655675888062],1127,1216
24_Frau_Holle_en(1).txt,[0.9188183546066284],[0.9156007170677185],[0.9172067642211914],1080,1194
125_Der_Teufel_und_seine_Gro_mutte_en(1).txt,[0.9347655773162842],[0.9350879788398743],[0.9349267482757568],1148,1248
150_Die_alte_Bettelfrau_en(1).txt,[0.9368525743484497],[0.9319015145301819],[0.9343704581260681],183,164
201_heavenly_wedding_en(1).txt,[0.927449107170105],[0.9225262999534607],[0.9249811768531799],467,517
21_Aschenbuttel_en(1).txt,[0.9408542513847351],[0.9386909008026123],[0.939771294593811],1772,2632
11_Br_derchen_und_Schwesterchen_en(1).txt,[0.8198671340942383],[0.8216663599014282],[0.8207657337188721],2321,2349
133_Die_zertanzten_Schuhe_en.txt,[0.9326741099357605],[0.9311993718147278],[0.9319361448287964],1582,1464
90_Der_junge_Riese_en(1).txt,[0.8914459347724915],[0.8762205839157104],[0.8837676048278809],2666,3091
137_De_drei_schwatten_Princessinne_en.txt,[0.924342930316925],[0.9218265414237976],[0.9230830669403076],704,710
57_Der_goldene_Vogel_en(1).txt,[0.9259138107299805],[0.9236379861831665],[0.9247745275497437],2835,3081
15_H_nsel_und_Grethel_en.txt,[0.9125441312789917],[0.9085038304328918],[0.9105194807052612],2651,2946
131_Die_schöne_Katrinelje_und_Pif__en.txt,[0.9092898368835449],[0.9066169857978821],[0.9079514741897583],352,304
40_Der_R_uberbr_utigam_en(1).txt,[0.9310503005981445],[0.9246174693107605],[0.9278227090835571],1369,1384
88_Das_singende_springende_L_wene_en(1).txt,[0.9221706986427307],[0.9168319702148438],[0.9194936156272888],1708,2338
116_Das_blaue_Licht_en(1).txt,[0.9049150347709656],[0.9026946425437927],[0.9038034677505493],1639,1750
149_Der_Hahnenbalken_en(1).txt,[0.9349426627159119],[0.9315759539604187],[0.9332563281059265],284,282
12_Rapunzel_en.txt,[0.8203596472740173],[0.8221746683120728],[0.821266233921051],1257,1663
128_Die_faule_Spinnerin_en(1).txt,[0.9259138107299805],[0.922394871711731],[0.9241510033607483],700,767
145_Der_undankbare_Sohn_en(1).txt,[0.9317272901535034],[0.930036723613739],[0.9308812618255615],158,168
"18_Strohhalm,_Kohle_und_Bohne_en(1).txt",[0.8147523403167725],[0.8145444393157959],[0.8146483898162842],481,2125
47_Von_dem_Machandelboom_en.txt,[0.9191123247146606],[0.9140158295631409],[0.9165570139884949],2472,3076
132_Der_Fuchs_und_das_Pferd_en(1).txt,[0.9217450022697449],[0.9167826175689697],[0.9192570447921753],551,481
200_Der_goldene_Schl_ssel_en(1).txt,[0.9477642178535461],[0.9386962056159973],[0.9432083964347839],169,184
91_Dat_Erdmänneken_en.txt,[0.9064490795135498],[0.9071559906005859],[0.9068024158477783],2026,1854
30_L_uschen_und_Fl_hchen_en.txt,[0.9024955630302429],[0.8899315595626831],[0.8961695432662964],448,455
147_Das_junggegl_hte_M_nnlein_en(1).txt,[0.9155207872390747],[0.9164121747016907],[0.9159662127494812],512,543
112_Der_Dreschflegel_vom_Himmel_en(1).txt,[0.922834575176239],[0.9078667759895325],[0.9152895212173462],349,396
52_K_nig_Drosselbart_en(1).txt,[0.9054380059242249],[0.9024065732955933],[0.9039197564125061],1592,1641
44_Der_Gevatter_Tod_en(1).txt,[0.9322471022605896],[0.9230683445930481],[0.9276350736618042],1311,1224
99_Der_Geist_im_Glas_en(1).txt,[0.940131425857544],[0.935503363609314],[0.9378116726875305],2126,1786
148_Des_Herrn_und_des_Teufels_Geth_en(1).txt,[0.9216139316558838],[0.9172542691230774],[0.9194289445877075],378,365
46_Fitchers_Vogel_en(1).txt,[0.932320773601532],[0.9291965365409851],[0.9307560324668884],1324,1404
28_Der_singende_Knochen_en.txt,[0.9310500621795654],[0.9309307336807251],[0.9309903383255005],742,738
93_Die_Rabe_en.txt,[0.9309821724891663],[0.9220726490020752],[0.926505982875824],2247,2261
39_Die_Wichtelm_nner_en.txt,[0.9276506900787354],[0.9218744039535522],[0.9247534871101379],1328,1173
103_Der_s__e_Brei_en(1).txt,[0.9359014630317688],[0.9371823668479919],[0.9365414977073669],253,245
9_Die_zw_lf_Br_der_en(1).txt,[0.8280587196350098],[0.8141205906867981],[0.8210305571556091],1786,1323
140_Das_Hausgesinde_en(1).txt,[0.8812525868415833],[0.8797462582588196],[0.8804988265037537],194,147
48_Der_alte_Sultan_en(1).txt,[0.936272144317627],[0.9364475011825562],[0.9363598227500916],833,864
127_Der_Eisenofen_en(1).txt,[0.8952178359031677],[0.8883851766586304],[0.8917884826660156],1804,2201
151_Die_drei_Faulen_en.txt,[0.929114580154419],[0.9265714883804321],[0.927841305732727],1219,1341
3_Marienkind_en.txt,[0.7975146174430847],[0.7750571966171265],[0.7861255407333374],1777,455
108_Hans_mein_Jgel_en.txt,[0.9282222986221313],[0.9273816347122192],[0.927801787853241],1596,2118
106_Der_arme_M_llerbursch_und_das__en(1).txt,[0.9172638654708862],[0.9166592359542847],[0.9169614911079407],1264,1398
97_Das_Wasser_des_Lebens_en(1).txt,[0.8963022232055664],[0.8933911323547363],[0.8948442935943604],1358,2319
56_Der_Liebste_Roland_en(1).txt,[0.9365729689598083],[0.9292433261871338],[0.932893693447113],1407,1479
102_Der_Zaunk_nig_und_der_B_r_en(1).txt,[0.9262844920158386],[0.9200894236564636],[0.9231765866279602],850,913
10_Das_Lumpengesindel_en(1).txt,[0.8254716396331787],[0.8205500245094299],[0.8230034708976746],719,1263
69_Jorinde_und_Joringel_en.txt,[0.9051127433776855],[0.9102909564971924],[0.9076944589614868],876,937
5_Der_Wolf_und_die_sieben_jungen_en(1).txt,[0.8115155696868896],[0.8036990761756897],[0.8075883984565735],995,3102
89_Die_G_nsemagd_en.txt,[0.9211791157722473],[0.912388265132904],[0.9167625904083252],2008,2212
142_Simeliberg_en(1).txt,[0.924736738204956],[0.9245759844779968],[0.924656331539154],873,851
117_Das_eigensinnige_Kind_en.txt,[0.9402245283126831],[0.9253600835800171],[0.9327331185340881],115,142
100_Des_Teufels_ru_iger_Bruder_en.txt,[0.924426794052124],[0.9224063754081726],[0.92341548204422],1166,1263
78_Der_alte_Gro_vater_und_der_Enk_en.txt,[0.949031412601471],[0.9414176344871521],[0.9452091455459595],248,249
109_Das_Todtenhemdchen_en(1).txt,[0.9509401321411133],[0.9461579322814941],[0.9485430121421814],246,256
14_Die_drei_Spinnerinnen_en(1).txt,[0.8206450939178467],[0.8098516464233398],[0.8152126669883728],870,424
113_De_beiden_Künigeskinner_en.txt,[0.9010347127914429],[0.8935588598251343],[0.8972812294960022],2525,3418
134_Die_sechs_Diener_en(1).txt,[0.9145334959030151],[0.915460467338562],[0.9149967432022095],2513,2706
19_Von_dem_Fischer_un_syner_Fru_en(1).txt,[0.8320198059082031],[0.8207314610481262],[0.8263371586799622],2806,1461
29_Der_Teufel_mit_den_drei_golden_en.txt,[0.927682638168335],[0.9267773628234863],[0.9272297620773315],2749,2539
98_Doctor_Allwissend_en.txt,[0.9149914979934692],[0.9134508967399597],[0.9142205715179443],700,771
13_Die_drei_M_nnlein_im_Walde_en.txt,[0.7892014384269714],[0.7669121026992798],[0.7778971791267395],1968,304
51_Fundevogel_en(1).txt,[0.9233380556106567],[0.9163254499435425],[0.9198184013366699],898,956
110_Der_Jude_im_Dorn_en.txt,[0.8915024995803833],[0.8900699615478516],[0.8907856345176697],1575,1792
124_Die_drei_Br_der_en.txt,[0.9227065443992615],[0.921617329120636],[0.9221615791320801],650,659
